Name,URL,Tagline
Athena,,
Olympus,,
JK Family Office,,
Amazon,,
Square,,
Google,,
Levels Health,https://www.levelshealth.com/,
Stanford University,,
General Catalyst,,
GitLab,https://about.gitlab.com/handbook/,
Almanac,https://almanac.io/,
Y-Combinator,,
SignalFire,,
