Author Credit,Display,Full Name,First Name,Last Name,Title,Org
Athena,Org,Athena Team,Athena,Team,,Athena
Jonathan Swanson,Person,Jonathan Swanson,Jonathan,Swanson,Chairman,Athena
Chris York,Person,Chris York,Chris,York,,Athena
Amazon,Org,Jeff Bezos,Jeff,Bezos,CEO,Amazon
Almanac,Org,Adam Nathan,Adam,Nathan,CEO,Almanac
Christina Wodtke,Person,Christina Wodtke,Christina,Wodtke,,Stanford University
John Doerr,Person,John Doerr,John,Doerr,,Google
Peter Boyce,Person,Peter Boyce,Peter,Boyce,,General Catalyst
Sam Corcos,Person,Sam Corcos,Sam,Corcos,CEO,Levels Health
