Name,URL,Playbooks Used
Descript,descript.com,
Clay,clay.run,
Rows,rows.com,
Airtable,,
Fireflies,,
Zoom,,
Superhuman,,
Gmail,,
Google Calendar,,
Vimcal,,
Notion,,
Coda,,
Scribe,https://scribehow.com/,
Feedly,,
Shortcuts,,
DataMiner,,
Google Voice,,
Twilio,,
Figma,,
Clearbit,,
CloudHQ,,
Texau,,
Zapier,,
OpenAI,,
Kubera,,
Google Sheets,,
